Pilot_ID,Yrs_Exp_Initial,Rating_Initial,training_01,training_02,training_03,training_04,training_05,training_06,training_07,training_08,training_09,training_10,training_11,training_12,training_13,training_14,training_15,training_16,training_17,training_18,training_19,training_20,training_21,training_22,training_23,training_24,training_25,training_26,training_27,training_28,training_29,training_30,training_31,training_32,training_33,training_34,training_35,training_36,training_37,training_38,training_39,training_40,training_41,training_42,training_43,training_44,training_45,training_46,training_47,training_48,training_49,training_50
Pilot 11,8.6,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 12,7.5,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 13,8.6,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 14,8.8,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 15,9.1,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 16,7.4,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 17,10.3,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 18,8.7,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 19,7.6,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 20,6.7,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 21,9.7,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 22,8.1,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 23,7.1,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 24,8.7,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 25,8.6,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 26,8.9,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 27,6.1,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 28,6.3,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 29,8.4,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 30,7.4,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 31,9.3,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 32,10.5,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 33,6.5,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 34,6.3,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 35,8.5,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 36,8.5,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 37,7.9,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 38,9.4,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 39,10.0,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 40,7.1,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 41,8.7,tr3_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 42,7.1,tr3_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 43,11.0,tr3_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 44,9.3,tr3_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 45,8.6,tr3_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 46,8.6,tr3_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 47,7.6,tr3_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 48,7.1,tr3_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 49,9.1,tr3_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 50,7.9,tr3_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 51,9.0,tr3_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 52,9.7,tr3_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 53,8.5,tr3_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 54,7.0,tr3_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 55,6.6,tr3_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
